activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,5493006VSECR4GWFB307,12060,GA,13089,13089023210,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Female,1,71,2,2,1,1,2,2,2,105000.0,96.5,5.0,1.52,2,2661.4,NA,0.0,,993.76,360,NA,NA,2,2,2,2,115000,1,1,3,5,1,NA,24,49,1,10,3,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,6514,95.6400000000000006,74400,64,1086,1910,31
2018,5493006VSECR4GWFB307,16820,VA,51079,51079030200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,1,1,1,2,2,2,165000.0,97.0,4.875,0.695,2,568.55,NA,0.0,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,35,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,1,,,,,10,,,,9544,19.870000000000001,86200,101,2913,3692,24
2018,5493006VSECR4GWFB307,39460,FL,12015,12015030100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,95000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,115000,1,2,3,5,1,NA,112,49,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,2,,,,,9,,,,6463,5.05999999999999961,58300,82,2080,3408,27
2018,5493006VSECR4GWFB307,26620,AL,01089,01089010623,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,1,71,2,3,1,1,2,2,2,195000.0,100.0,4.25,-0.06,2,4108.65,NA,0.0,,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,48,44,1,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,6459,30.0799999999999983,78700,161,2085,2443,14
2018,5493006VSECR4GWFB307,43900,SC,45083,45083020702,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,105000.0,97.0,4.875,0.435,2,445.0,NA,0.0,,14.0,360,NA,NA,2,2,2,2,105000,1,1,3,5,1,NA,26,48,1,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,2,2,,,,,10,,,,1858,57.8599999999999994,59700,65,421,834,35
2018,5493006VSECR4GWFB307,31140,KY,21029,21029021101,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,3,1,1,2,2,2,135000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,135000,1,1,3,5,1,NA,31,30%-<36%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,2,1,,,,,9,,,,7056,5.70000000000000018,70400,89,1795,2188,15
2018,5493006VSECR4GWFB307,32820,TN,47157,47157021142,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,71,2,3,1,1,2,2,2,215000.0,100.0,4.625,0.319,2,5112.18,NA,0.0,2145.15,50.0,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,68,38,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,2,1,,,,,10,,,,3831,52.1499999999999986,63400,160,790,1099,29
2018,5493006VSECR4GWFB307,99999,KY,21213,21213970400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,1,9,2,2,1,1,2,2,2,135000.0,96.5,4.625,1.194,2,5218.91,NA,995.0,,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,29,50%-60%,2,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,1,4,1,5,1,4,65-74,9999,Yes,NA,2,2,3,,,,,10,,,,6205,14.6799999999999997,49400,91,1262,2539,34
2018,5493006VSECR4GWFB307,36740,FL,12095,12095016716,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,295000.0,95.0,4.375,0.893,2,6793.63,NA,344.62,344.62,50.0,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,66,38,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,3,,,,,10,,,,5641,39.0200000000000031,62900,158,1636,2072,29
2018,5493006VSECR4GWFB307,12060,GA,13135,13135050538,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,185000.0,96.49,4.5,1.034,2,4994.6,NA,0.0,,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,104,45,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,2,1,3,,,,,10,,,,7840,56.1099999999999994,74400,120,1943,2434,21
